[12:02:58] prepare OK id=conv_1760702578_1223023932984869486 meta_latency=0.112s
t=+417.358s status=created dl=0% cv=0% qpos=0
t=+418.376s status=created dl=0% cv=0% qpos=0
t=+419.394s status=created dl=0% cv=0% qpos=0
t=+420.413s status=created dl=0% cv=0% qpos=0
t=+421.431s status=created dl=0% cv=0% qpos=0
t=+422.449s status=created dl=0% cv=0% qpos=0
t=+423.469s status=created dl=0% cv=0% qpos=0
t=+424.487s status=created dl=0% cv=0% qpos=0
t=+425.505s status=created dl=0% cv=0% qpos=0
t=+426.522s status=created dl=0% cv=0% qpos=0
t=+427.539s status=created dl=0% cv=0% qpos=0
t=+428.558s status=created dl=0% cv=0% qpos=0
t=+429.576s status=created dl=0% cv=0% qpos=0
t=+430.596s status=created dl=0% cv=0% qpos=0
t=+431.615s status=created dl=0% cv=0% qpos=0
t=+432.633s status=created dl=0% cv=0% qpos=0
t=+433.650s status=created dl=0% cv=0% qpos=0
t=+434.666s status=created dl=0% cv=0% qpos=0
t=+435.683s status=created dl=0% cv=0% qpos=0
t=+436.700s status=created dl=0% cv=0% qpos=0
t=+437.717s status=created dl=0% cv=0% qpos=0
t=+438.733s status=created dl=0% cv=0% qpos=0
t=+439.749s status=created dl=0% cv=0% qpos=0
t=+440.766s status=created dl=0% cv=0% qpos=0
t=+441.782s status=created dl=0% cv=0% qpos=0
t=+442.798s status=created dl=0% cv=0% qpos=0
t=+443.816s status=created dl=0% cv=0% qpos=0
t=+444.832s status=created dl=0% cv=0% qpos=0
t=+445.848s status=created dl=0% cv=0% qpos=0
t=+446.864s status=created dl=0% cv=0% qpos=0
t=+447.880s status=created dl=0% cv=0% qpos=0
t=+448.896s status=created dl=0% cv=0% qpos=0
t=+449.912s status=created dl=0% cv=0% qpos=0
t=+450.928s status=created dl=0% cv=0% qpos=0
t=+451.945s status=created dl=0% cv=0% qpos=0
t=+452.961s status=created dl=0% cv=0% qpos=0
t=+453.980s status=created dl=0% cv=0% qpos=0
t=+454.996s status=created dl=0% cv=0% qpos=0
t=+456.014s status=created dl=0% cv=0% qpos=0
t=+457.028s status=created dl=0% cv=0% qpos=0
t=+458.043s status=created dl=0% cv=0% qpos=0
t=+459.059s status=created dl=0% cv=0% qpos=0
t=+460.076s status=created dl=0% cv=0% qpos=0
t=+461.092s status=created dl=0% cv=0% qpos=0
t=+462.108s status=created dl=0% cv=0% qpos=0
t=+463.124s status=created dl=0% cv=0% qpos=0
t=+464.141s status=created dl=0% cv=0% qpos=0
t=+465.156s status=created dl=0% cv=0% qpos=0
t=+466.173s status=created dl=0% cv=0% qpos=0
t=+467.189s status=created dl=0% cv=0% qpos=0
t=+468.206s status=created dl=0% cv=0% qpos=0
t=+469.222s status=created dl=0% cv=0% qpos=0
t=+470.239s status=created dl=0% cv=0% qpos=0
t=+471.255s status=created dl=0% cv=0% qpos=0
t=+472.272s status=created dl=0% cv=0% qpos=0
t=+473.289s status=created dl=0% cv=0% qpos=0
t=+474.305s status=created dl=0% cv=0% qpos=0
t=+475.320s status=created dl=0% cv=0% qpos=0
t=+476.335s status=created dl=0% cv=0% qpos=0
t=+477.352s status=created dl=0% cv=0% qpos=0
t=+478.368s status=created dl=0% cv=0% qpos=0
t=+479.386s status=created dl=0% cv=0% qpos=0
t=+480.403s status=created dl=0% cv=0% qpos=0
t=+481.419s status=created dl=0% cv=0% qpos=0
t=+482.436s status=created dl=0% cv=0% qpos=0
t=+483.452s status=created dl=0% cv=0% qpos=0
t=+484.468s status=created dl=0% cv=0% qpos=0
t=+485.484s status=created dl=0% cv=0% qpos=0
t=+486.501s status=created dl=0% cv=0% qpos=0
t=+487.518s status=created dl=0% cv=0% qpos=0
t=+488.535s status=created dl=0% cv=0% qpos=0
t=+489.551s status=created dl=0% cv=0% qpos=0
t=+490.567s status=created dl=0% cv=0% qpos=0
t=+491.583s status=created dl=0% cv=0% qpos=0
t=+492.599s status=created dl=0% cv=0% qpos=0
t=+493.616s status=created dl=0% cv=0% qpos=0
t=+494.633s status=created dl=0% cv=0% qpos=0
t=+495.649s status=created dl=0% cv=0% qpos=0
t=+496.665s status=created dl=0% cv=0% qpos=0
t=+497.681s status=created dl=0% cv=0% qpos=0
t=+498.697s status=created dl=0% cv=0% qpos=0
t=+499.715s status=created dl=0% cv=0% qpos=0
t=+500.732s status=created dl=0% cv=0% qpos=0
t=+501.748s status=created dl=0% cv=0% qpos=0
t=+502.765s status=created dl=0% cv=0% qpos=0
t=+503.781s status=created dl=0% cv=0% qpos=0
t=+504.797s status=created dl=0% cv=0% qpos=0
t=+505.812s status=created dl=0% cv=0% qpos=0
t=+506.828s status=created dl=0% cv=0% qpos=0
t=+507.845s status=created dl=0% cv=0% qpos=0
t=+508.860s status=created dl=0% cv=0% qpos=0
t=+509.877s status=created dl=0% cv=0% qpos=0
t=+510.893s status=created dl=0% cv=0% qpos=0
t=+511.908s status=created dl=0% cv=0% qpos=0
t=+512.924s status=created dl=0% cv=0% qpos=0
t=+513.941s status=created dl=0% cv=0% qpos=0
t=+514.956s status=created dl=0% cv=0% qpos=0
t=+515.972s status=created dl=0% cv=0% qpos=0
t=+516.988s status=created dl=0% cv=0% qpos=0
t=+518.005s status=created dl=0% cv=0% qpos=0
t=+519.022s status=created dl=0% cv=0% qpos=0
